Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G1 - Maritime @ WestConn,9/30/2023,5:30:00 PM,9/30/2023,7:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G2 - Maritime @ STAC,10/1/2023,3:30:00 PM,10/1/2023,5:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G3 - WestConn @ Yale,10/6/2023,7:00:00 PM,10/6/2023,8:30:00 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
G4 - STAC @ Stevens,10/6/2023,8:30:00 PM,10/6/2023,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G5 - Sacred Heart @ Maritime,10/7/2023,10:00:00 PM,10/7/2023,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G6 - Stevens @ Maritime,10/13/2023,10:00:00 PM,10/13/2023,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G7 - Sacred Heart @ Yale,10/13/2023,7:30:00 PM,10/13/2023,9:00:00 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
G8 - WestConn @ STAC,10/13/2023,8:00:00 PM,10/13/2023,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G9 - Sacred Heart @ NJIT,10/14/2023,8:30:00 PM,10/14/2023,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G10 - NJIT @ Stevens,10/15/2023,8:30:00 PM,10/15/2023,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G11 - NJIT @ STAC,10/20/2023,8:00:00 PM,10/20/2023,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G12 - Stevens @ WestConn,10/21/2023,10:00:00 PM,10/21/2023,11:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G13 - WestConn @ Maritime,10/27/2023,10:00:00 PM,10/27/2023,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G14 - Yale @ Stevens,10/28/2023,8:30:00 PM,10/28/2023,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G15 - Maritime @ Yale,10/29/2023,10:00:00 AM,10/29/2023,11:30:00 AM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
G16 - Yale @ STAC,11/3/2023,8:00:00 PM,11/3/2023,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G17 - Yale @ NJIT,11/4/2023,8:30:00 PM,11/4/2023,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G18 - Maritime @ Sacred Heart,11/5/2023,5:45:00 PM,11/5/2023,7:15:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
G19 - STAC @ WestConn,11/5/2023,6:45:00 PM,11/5/2023,8:15:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G20 - USMMA @ STAC,11/10/2023,8:00:00 PM,11/10/2023,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
