Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,,,,,,
G1 - Maritime @ Sacred Heart,9/28/2024,2:00:00 PM,9/28/2024,3:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G2 - WestConn @ STAC,10/11/2024,8:00:00 PM,10/11/2024,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G3 - NJIT @ Maritime,10/12/2024,10:00:00 PM,10/12/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G4 - NJIT @ STAC,10/18/2024,8:00:00 PM,10/18/2024,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G5 - WestConn @ Maritime,10/19/2024,10:00:00 PM,10/19/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G6 - Maritime @ WestConn,10/25/2024,10:00:00 PM,10/25/2024,11:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G7 - NJIT @ WestConn,10/26/2024,7:30:00 PM,10/26/2024,9:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G8 - STAC @ Sacred Heart,10/27/2024,3:15:00 PM,10/27/2024,4:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G9 - Maritime @ NJIT,10/27/2024,8:30:00 PM,10/27/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,,,,
G10 - WestConn @ NJIT,11/2/2024,8:30:00 PM,11/2/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,,,,
G11 - Yeshiva @ WestConn,11/3/2024,8:00:00 PM,11/3/2024,9:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G12 - NJIT @ Yeshiva,11/9/2024,8:45:00 PM,11/9/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
G13 - STAC @ Maritime,11/9/2024,10:00:00 PM,11/9/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G14 - Yeshiva @ Sacred Heart,11/10/2024,8:00:00 PM,11/10/2024,9:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G15 - STAC @ Yeshiva,11/16/2024,8:45:00 PM,11/16/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
G16 - WestConn @ USMMA,11/16/2024,10:15:00 PM,11/16/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
G17 - USMMA @ STAC,11/17/2024,3:30:00 PM,11/17/2024,5:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G18 - Sacred Heart @ USMMA,11/22/2024,10:30:00 PM,11/22/2024,11:59:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
G19 - WestConn @ Yeshiva,11/23/2024,8:45:00 PM,11/23/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
G20 - USMMA @ Maritime,11/23/2024,10:00:00 PM,11/23/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G21 - NJIT @ Sacred Heart,11/24/2024,8:00:00 PM,11/24/2024,9:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G22 - Sacred Heart @ WestConn,12/6/2024,7:00:00 PM,12/6/2024,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G23 - STAC @ WestConn,12/7/2024,3:30:00 PM,12/7/2024,5:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G24 - USMMA @ NJIT,12/7/2024,8:30:00 PM,12/7/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,,,,
G25 - Sacred Heart @ Yeshiva,12/7/2024,8:45:00 PM,12/7/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
G26 - Yeshiva @ USMMA,12/14/2024,10:15:00 PM,12/14/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
G27 - USMMA @ Yeshiva,1/18/2025,8:45:00 PM,1/18/2025,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
G28 - USMMA @ Sacred Heart,1/19/2025,5:30:00 PM,1/19/2025,7:00:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G29 - USMMA @ WestConn,1/24/2025,10:00:00 PM,1/24/2025,11:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,,,,
G30 - Yeshiva @ STAC,1/25/2025,8:00:00 PM,1/25/2025,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G31 - NJIT @ USMMA,1/25/2025,10:15:00 PM,1/25/2025,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
