Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,,,,Game Date,Game Time,End Time,Home,Away,Ice Rink,
G1 - Maritime @ Sacred Heart,9/28/2024,2:00:00 PM,9/28/2024,3:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,1,9/28/2024,2:00:00 PM,3:30 PM,Sacred Heart,Maritime,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G1 - Maritime @ Sacred Heart
G2 - WestConn @ STAC,10/11/2024,8:00:00 PM,10/11/2024,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,2,10/11/2024,8:00:00 PM,9:30 PM,STAC,WestConn,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G2 - WestConn @ STAC
G3 - NJIT @ Maritime,10/12/2024,10:00:00 PM,10/12/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,3,10/12/2024,10:00:00 PM,11:30 PM,Maritime,NJIT,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G3 - NJIT @ Maritime
G4 - NJIT @ STAC,10/18/2024,8:00:00 PM,10/18/2024,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,4,10/18/2024,8:00:00 PM,9:30 PM,STAC,NJIT,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G4 - NJIT @ STAC
G5 - WestConn @ Maritime,10/19/2024,10:00:00 PM,10/19/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,5,10/19/2024,10:00:00 PM,11:30 PM,Maritime,WestConn,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G5 - WestConn @ Maritime
G6 - Maritime @ WestConn,10/25/2024,10:00:00 PM,10/25/2024,11:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,6,10/25/2024,10:00:00 PM,11:30 PM,WestConn,Maritime,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G6 - Maritime @ WestConn
G7 - NJIT @ WestConn,10/26/2024,7:30:00 PM,10/26/2024,9:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,7,10/26/2024,7:30:00 PM,9:00 PM,WestConn,NJIT,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G7 - NJIT @ WestConn
G8 - STAC @ Sacred Heart,10/27/2024,3:15:00 PM,10/27/2024,4:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,8,10/27/2024,3:15:00 PM,4:45 PM,Sacred Heart,STAC,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G8 - STAC @ Sacred Heart
G9 - Maritime @ NJIT,10/27/2024,8:30:00 PM,10/27/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,9,10/27/2024,8:30:00 PM,10:00 PM,NJIT,Maritime,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G9 - Maritime @ NJIT
G10 - WestConn @ NJIT,11/2/2024,8:30:00 PM,11/2/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,10,11/2/2024,8:30:00 PM,10:00 PM,NJIT,WestConn,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G10 - WestConn @ NJIT
G11 - Yeshiva @ WestConn,11/3/2024,8:00:00 PM,11/3/2024,9:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,11,11/3/2024,8:00:00 PM,9:30 PM,WestConn,Yeshiva,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G11 - Yeshiva @ WestConn
G12 - NJIT @ Yeshiva,11/9/2024,8:45:00 PM,11/9/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,12,11/9/2024,8:45:00 PM,10:15 PM,Yeshiva,NJIT,"Mackay Park, Englewood, NJ 07631",G12 - NJIT @ Yeshiva
G13 - STAC @ Maritime,11/9/2024,10:00:00 PM,11/9/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,13,11/9/2024,10:00:00 PM,11:30 PM,Maritime,STAC,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G13 - STAC @ Maritime
G14 - Yeshiva @ Sacred Heart,11/10/2024,8:00:00 PM,11/10/2024,9:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,14,11/10/2024,8:00:00 PM,9:30 PM,Sacred Heart,Yeshiva,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G14 - Yeshiva @ Sacred Heart
G15 - STAC @ Yeshiva,11/16/2024,8:45:00 PM,11/16/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,15,11/16/2024,8:45:00 PM,10:15 PM,Yeshiva,STAC,"Mackay Park, Englewood, NJ 07631",G15 - STAC @ Yeshiva
