Game ID#,Game Date,Game Time,Home,Away,Arena,Game Code,League,,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
1,9/30/2023,5:30pm,WestConn,Maritime,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",Regular Season,MCHC,,G1 - Maritime @ WestConn,9/30/2023,5:30 PM,9/30/2023,7:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
2,10/1/2023,3:30pm,STAC,Maritime,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",Regular Season,MCHC,,G2 - Maritime @ STAC,10/1/2023,3:30 PM,10/1/2023,5:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
3,10/6/2023,7:00pm,Yale,WestConn,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511",Regular Season,MCHC,,G3 - WestConn @ Yale,10/6/2023,7:00 PM,10/6/2023,8:30 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
4,10/6/2023,8:30pm,Stevens,STAC,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G4 - STAC @ Stevens,10/6/2023,8:30 PM,10/6/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
5,10/7/2023,10:00pm,Maritime,Sacred Heart,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G5 - Sacred Heart @ Maritime,10/7/2023,10:00 PM,10/7/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
6,10/13/2023,10:00pm,Maritime,Stevens,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G6 - Stevens @ Maritime,10/13/2023,10:00 PM,10/13/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
7,10/13/2023,7:30pm,Yale,Sacred Heart,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511",Regular Season,MCHC,,G7 - Sacred Heart @ Yale,10/13/2023,7:30 PM,10/13/2023,9:00 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
8,10/13/2023,8:00pm,STAC,WestConn,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",Regular Season,MCHC,,G8 - WestConn @ STAC,10/13/2023,8:00 PM,10/13/2023,9:30 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
9,10/14/2023,8:30pm,NJIT,Sacred Heart,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G9 - Sacred Heart @ NJIT,10/14/2023,8:30 PM,10/14/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
10,10/15/2023,8:30pm,Stevens,NJIT,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G10 - NJIT @ Stevens,10/15/2023,8:30 PM,10/15/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
11,10/20/2023,8:00pm,STAC,NJIT,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",Regular Season,MCHC,,G11 - NJIT @ STAC,10/20/2023,8:00 PM,10/20/2023,9:30 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
12,10/21/2023,10:00pm,WestConn,Stevens,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",Regular Season,MCHC,,G12 - Stevens @ WestConn,10/21/2023,10:00 PM,10/21/2023,11:30 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
13,10/27/2023,10:00pm,Maritime,WestConn,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA",Regular Season,MCHC,,G13 - WestConn @ Maritime,10/27/2023,10:00 PM,10/27/2023,11:30 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
14,10/28/2023,8:30pm,Stevens,Yale,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",Regular Season,MCHC,,G14 - Yale @ Stevens,10/28/2023,8:30 PM,10/28/2023,10:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
15,10/29/2023,10:00am,Yale,Maritime,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511",Regular Season,MCHC,,G15 - Maritime @ Yale,10/29/2023,10:00 AM,10/29/2023,11:30 AM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
16,11/3/2023,8:00pm,STAC,Yale,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",Regular Season,MCHC,,G16 - Yale @ STAC,11/3/2023,8:00 PM,11/3/2023,9:30 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
