Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
A1 - SHU ACDC @ Stevens,9/28/2025,8:30:00 PM,9/28/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
A2 - Stevens @ Hofstra,10/5/2025,2:00:00 PM,10/5/2025,3:30:00 PM,FALSE,"Freeport Recreation Center, 130 E Merrick Rd, Freeport, NY 11520"
A3 - SHU ACDC @ Fairfield U.,10/5/2025,9:25:00 PM,10/5/2025,10:55:00 PM,FALSE,"The Rinks at Shelton, Shelton, CT 06484"
A4 - St. Johns @ Hofstra,10/10/2025,9:15:00 PM,10/10/2025,10:45:00 PM,FALSE,"Freeport Recreation Center, 130 E Merrick Rd, Freeport, NY 11520"
A5 - Rutgers @ Stony Brook,10/17/2025,10:00:00 PM,10/17/2025,11:30:00 PM,FALSE,"The Rinx, 660 Terry Rd, Hauppauge, NY 11788"
A6 - Rutgers @ Fairfield U.,10/18/2025,8:55:00 PM,10/18/2025,10:25:00 PM,FALSE,"The Rinks at Shelton, Shelton, CT 06484"
A7 - Fairfield U. @ Hofstra,10/19/2025,2:00:00 PM,10/19/2025,3:30:00 PM,FALSE,"Freeport Recreation Center, 130 E Merrick Rd, Freeport, NY 11520"
A8 - Hofstra @ SHU ACDC,10/26/2025,8:15:00 PM,10/26/2025,9:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
A9 - Rutgers @ Hofstra,11/1/2025,8:30:00 PM,11/1/2025,10:00:00 PM,FALSE,"Freeport Recreation Center, 130 E Merrick Rd, Freeport, NY 11520"
A10 - SHU ACDC @ Stony Brook,11/1/2025,9:30:00 PM,11/1/2025,11:00:00 PM,FALSE,"Iceworks, 175 Underhill Blvd, Syosset, NY 11791"
A11 - Stony Brook @ SHU ACDC,11/2/2025,8:15:00 PM,11/2/2025,9:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
A12 - Fairfield U. @ Rutgers,11/7/2025,9:15:00 PM,11/7/2025,10:45:00 PM,FALSE,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
A13 - Stevens @ SHU ACDC,11/9/2025,8:15:00 PM,11/9/2025,9:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
A14 - Hofstra @ Stony Brook,11/14/2025,9:30:00 PM,11/14/2025,11:00:00 PM,FALSE,"Iceworks, 175 Underhill Blvd, Syosset, NY 11791"
A15 - Hofstra @ Fairfield U.,11/21/2025,9:10:00 PM,11/21/2025,10:40:00 PM,FALSE,"The Rinks at Shelton, Shelton, CT 06484"
A16 - Stevens @ Fairfield U.,11/22/2025,9:10:00 PM,11/22/2025,10:40:00 PM,FALSE,"The Rinks at Shelton, Shelton, CT 06484"
A17 - Stevens @ Rutgers,12/6/2025,7:15:00 PM,12/6/2025,8:45:00 PM,FALSE,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
A18 - SHU ACDC @ Rutgers,12/7/2025,7:10:00 PM,12/7/2025,8:40:00 PM,FALSE,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
A19 - Fairfield U. @ SHU ACDC,1/25/2026,8:15:00 PM,1/25/2026,9:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
A20 - Hofstra @ Rutgers,1/31/2026,7:15:00 PM,1/31/2026,8:45:00 PM,FALSE,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
A21 - Stevens @ Stony Brook,1/31/2026,9:15:00 PM,1/31/2026,10:45:00 PM,FALSE,"The Rinx, 660 Terry Rd, Hauppauge, NY 11788"
A22 - Hofstra @ Stevens,2/1/2026,8:30:00 PM,2/1/2026,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
A23 - Stony Brook @ Rutgers,2/1/2026,5:15:00 PM,2/1/2026,6:45:00 PM,FALSE,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
A24 - Fairfield U. @ Stevens,2/7/2026,8:30:00 PM,2/7/2026,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
A25 - Stony Brook @ Hofstra,2/7/2026,8:30:00 PM,2/7/2026,10:00:00 PM,FALSE,"Freeport Recreation Center, 130 E Merrick Rd, Freeport, NY 11520"
A26 - Fairfield U. @ Stony Brook,2/13/2026,9:30:00 PM,2/13/2026,11:00:00 PM,FALSE,"Iceworks, 175 Underhill Blvd, Syosset, NY 11791"
A27 - Stony Brook @ Fairfield U.,2/15/2026,4:40:00 PM,2/15/2026,6:10:00 PM,FALSE,"The Rinks at Shelton, Shelton, CT 06484"
