Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G1 - Sacred Heart vs. Stevens,09/30/22,8:30:00 PM,09/30/22,10:00:00 PM,FALSE,"Wonderland of Ice, 123 Glenwood Ave, Bridgeport, CT 06610, USA"
G2 - Stevens vs. Columbia,10/01/22,8:30:00 PM,10/01/22,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G3 - WestConn vs. Sacred Heart,10/01/22,8:30:00 PM,10/01/22,10:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G4 - STAC vs. Sacred Heart,10/07/22,8:30:00 PM,10/07/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G5 - WestConn vs. Stevens,10/07/22,9:45:00 PM,10/07/22,11:15:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G6 - Maritime vs. STAC,10/08/22,10:00:00 PM,10/08/22,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G7 - Stevens vs. Maritime,10/09/22,8:30:00 PM,10/09/22,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G8 - STAC vs. WestConn,10/14/22,8:30:00 PM,10/14/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G9 - Maritime vs. Columbia,10/14/22,10:00:00 PM,10/14/22,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G10 - Sacred Heart vs. Maritime,10/15/22,8:30:00 PM,10/15/22,10:00:00 PM,FALSE,"Wonderland of Ice, 123 Glenwood Ave, Bridgeport, CT 06610, USA"
G11 - Columbia vs. Stevens,10/15/22,10:20:00 PM,10/15/22,11:50:00 PM,FALSE,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550, USA"
G12 - Sacred Heart vs. Columbia,10/21/22,8:30:00 PM,10/21/22,10:00:00 PM,FALSE,"Wonderland of Ice, 123 Glenwood Ave, Bridgeport, CT 06610, USA"
G13 - STAC vs. Stevens,10/21/22,8:30:00 PM,10/21/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G14 - Maritime vs. WestConn,10/22/22,10:00:00 PM,10/22/22,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G15 - Columbia vs. STAC,10/22/22,10:20:00 PM,10/22/22,11:50:00 PM,FALSE,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550, USA"
G16 - STAC vs. Columbia,10/28/22,8:30:00 PM,10/28/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G17 - Stevens vs. Sacred Heart,10/28/22,8:30:00 PM,10/28/22,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G18 - Stevens vs. WestConn,10/29/22,8:30:00 PM,10/29/22,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G19 - Columbia vs. Maritime,10/29/22,10:20:00 PM,10/29/22,11:50:00 PM,FALSE,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550, USA"
G20 - WestConn vs. Columbia,11/04/22,7:00:00 PM,11/04/22,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G21 - STAC vs. Maritime,11/04/22,8:30:00 PM,11/04/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G22 - Stevens vs. Columbia,11/05/22,8:30:00 PM,11/05/22,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G23 - STAC vs. Sacred Heart,11/11/22,8:30:00 PM,11/11/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G24 - Maritime vs. Stevens,11/11/22,10:00:00 PM,11/11/22,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G25 - WestConn vs. STAC,11/12/22,3:45:00 PM,11/12/22,5:15:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G26 - Sacred Heart vs. Columbia,11/18/22,8:30:00 PM,11/18/22,10:00:00 PM,FALSE,"Wonderland of Ice, 123 Glenwood Ave, Bridgeport, CT 06610, USA"
G27 - STAC vs. Kings Point,11/18/22,8:30:00 PM,11/18/22,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
